"Notes"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Jan., 2020"	"2020/01"	"100+ years"	"100+"	2962	Not Applicable	Not Applicable
	"Jan., 2020"	"2020/01"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"< 1 year"	"1"	1673	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"1-4 years"	"1-4"	325	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"5-9 years"	"5-9"	181	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"10-14 years"	"10-14"	276	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"15-19 years"	"15-19"	842	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"20-24 years"	"20-24"	1548	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"25-29 years"	"25-29"	2212	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"30-34 years"	"30-34"	2796	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"35-39 years"	"35-39"	3163	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"40-44 years"	"40-44"	3733	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"45-49 years"	"45-49"	5254	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"50-54 years"	"50-54"	8075	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"55-59 years"	"55-59"	13149	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"60-64 years "	"60-64"	18723	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"65-69 years"	"65-69"	21873	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"70-74 years"	"70-74"	26217	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"75-79 years"	"75-79"	29027	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"80-84 years"	"80-84"	30509	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"85-89 years"	"85-89"	32469	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"90-94 years"	"90-94"	27131	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"95-99 years"	"95-99"	12530	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"100+ years"	"100+"	2713	Not Applicable	Not Applicable
	"Feb., 2020"	"2020/02"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"< 1 year"	"1"	1646	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"1-4 years"	"1-4"	327	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"5-9 years"	"5-9"	172	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"10-14 years"	"10-14"	261	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"15-19 years"	"15-19"	860	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"20-24 years"	"20-24"	1773	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"25-29 years"	"25-29"	2514	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"30-34 years"	"30-34"	2979	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"35-39 years"	"35-39"	3746	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"40-44 years"	"40-44"	4248	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"45-49 years"	"45-49"	5786	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"50-54 years"	"50-54"	8814	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"55-59 years"	"55-59"	14494	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"60-64 years "	"60-64"	20538	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"65-69 years"	"65-69"	24302	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"70-74 years"	"70-74"	28889	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"75-79 years"	"75-79"	31953	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"80-84 years"	"80-84"	34103	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"85-89 years"	"85-89"	35365	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"90-94 years"	"90-94"	29439	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"95-99 years"	"95-99"	14089	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"100+ years"	"100+"	2930	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Not Stated"	"NS"	11	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"< 1 year"	"1"	1569	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"1-4 years"	"1-4"	248	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"5-9 years"	"5-9"	163	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"10-14 years"	"10-14"	252	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"15-19 years"	"15-19"	891	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"20-24 years"	"20-24"	1930	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"25-29 years"	"25-29"	2776	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"30-34 years"	"30-34"	3346	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"35-39 years"	"35-39"	4051	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"40-44 years"	"40-44"	4952	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"45-49 years"	"45-49"	6900	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"50-54 years"	"50-54"	10410	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"55-59 years"	"55-59"	16818	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"60-64 years "	"60-64"	23838	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"65-69 years"	"65-69"	28613	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"70-74 years"	"70-74"	34739	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"75-79 years"	"75-79"	37862	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"80-84 years"	"80-84"	41085	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"85-89 years"	"85-89"	43571	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"90-94 years"	"90-94"	36396	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"95-99 years"	"95-99"	17613	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"100+ years"	"100+"	3843	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Not Stated"	"NS"	13	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"< 1 year"	"1"	1692	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"1-4 years"	"1-4"	321	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"5-9 years"	"5-9"	196	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"10-14 years"	"10-14"	261	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"15-19 years"	"15-19"	1059	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"20-24 years"	"20-24"	2012	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"25-29 years"	"25-29"	2906	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"30-34 years"	"30-34"	3677	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"35-39 years"	"35-39"	4289	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"40-44 years"	"40-44"	4949	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"45-49 years"	"45-49"	6673	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"50-54 years"	"50-54"	9822	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"55-59 years"	"55-59"	15294	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"60-64 years "	"60-64"	21348	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"65-69 years"	"65-69"	25005	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"70-74 years"	"70-74"	29702	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"75-79 years"	"75-79"	32199	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"80-84 years"	"80-84"	34213	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"85-89 years"	"85-89"	36258	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"90-94 years"	"90-94"	30631	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"95-99 years"	"95-99"	14507	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"100+ years"	"100+"	3128	Not Applicable	Not Applicable
	"May, 2020"	"2020/05"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"< 1 year"	"1"	1664	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"1-4 years"	"1-4"	308	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"5-9 years"	"5-9"	227	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"10-14 years"	"10-14"	299	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"15-19 years"	"15-19"	1110	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"20-24 years"	"20-24"	2121	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"25-29 years"	"25-29"	2966	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"30-34 years"	"30-34"	3594	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"35-39 years"	"35-39"	4034	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"40-44 years"	"40-44"	4573	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"45-49 years"	"45-49"	6302	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"50-54 years"	"50-54"	9349	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"55-59 years"	"55-59"	14234	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"60-64 years "	"60-64"	19498	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"65-69 years"	"65-69"	22816	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"70-74 years"	"70-74"	26716	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"75-79 years"	"75-79"	28542	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"80-84 years"	"80-84"	30140	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"85-89 years"	"85-89"	31062	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"90-94 years"	"90-94"	25901	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"95-99 years"	"95-99"	12100	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"100+ years"	"100+"	2430	Not Applicable	Not Applicable
	"Jun., 2020"	"2020/06"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"< 1 year"	"1"	1649	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"1-4 years"	"1-4"	349	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"5-9 years"	"5-9"	219	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"10-14 years"	"10-14"	323	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"15-19 years"	"15-19"	1176	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"20-24 years"	"20-24"	2305	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"25-29 years"	"25-29"	3112	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"30-34 years"	"30-34"	3768	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"35-39 years"	"35-39"	4564	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"40-44 years"	"40-44"	5310	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"45-49 years"	"45-49"	6965	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"50-54 years"	"50-54"	10168	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"55-59 years"	"55-59"	16184	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"60-64 years "	"60-64"	21960	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"65-69 years"	"65-69"	25779	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"70-74 years"	"70-74"	30317	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"75-79 years"	"75-79"	32170	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"80-84 years"	"80-84"	33798	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"85-89 years"	"85-89"	34413	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"90-94 years"	"90-94"	27990	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"95-99 years"	"95-99"	13104	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"100+ years"	"100+"	2772	Not Applicable	Not Applicable
	"Jul., 2020"	"2020/07"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"< 1 year"	"1"	1621	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"1-4 years"	"1-4"	278	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"5-9 years"	"5-9"	191	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"10-14 years"	"10-14"	270	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"15-19 years"	"15-19"	1184	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"20-24 years"	"20-24"	2188	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"25-29 years"	"25-29"	2980	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"30-34 years"	"30-34"	3734	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"35-39 years"	"35-39"	4373	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"40-44 years"	"40-44"	5017	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"45-49 years"	"45-49"	6704	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"50-54 years"	"50-54"	9897	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"55-59 years"	"55-59"	15624	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"60-64 years "	"60-64"	21650	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"65-69 years"	"65-69"	25602	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"70-74 years"	"70-74"	30290	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"75-79 years"	"75-79"	32268	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"80-84 years"	"80-84"	34323	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"85-89 years"	"85-89"	34377	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"90-94 years"	"90-94"	28251	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"95-99 years"	"95-99"	13130	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"100+ years"	"100+"	2772	Not Applicable	Not Applicable
	"Aug., 2020"	"2020/08"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"< 1 year"	"1"	1602	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"1-4 years"	"1-4"	264	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"5-9 years"	"5-9"	167	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"10-14 years"	"10-14"	294	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"15-19 years"	"15-19"	1062	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"20-24 years"	"20-24"	2059	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"25-29 years"	"25-29"	2701	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"30-34 years"	"30-34"	3381	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"35-39 years"	"35-39"	3902	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"40-44 years"	"40-44"	4601	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"45-49 years"	"45-49"	6049	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"50-54 years"	"50-54"	9017	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"55-59 years"	"55-59"	14341	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"60-64 years "	"60-64"	19738	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"65-69 years"	"65-69"	23351	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"70-74 years"	"70-74"	28237	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"75-79 years"	"75-79"	29937	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"80-84 years"	"80-84"	31552	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"85-89 years"	"85-89"	32357	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"90-94 years"	"90-94"	26880	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"95-99 years"	"95-99"	12540	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"100+ years"	"100+"	2693	Not Applicable	Not Applicable
	"Sep., 2020"	"2020/09"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"< 1 year"	"1"	1587	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"1-4 years"	"1-4"	282	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"5-9 years"	"5-9"	187	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"10-14 years"	"10-14"	299	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"15-19 years"	"15-19"	1042	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"20-24 years"	"20-24"	2026	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"25-29 years"	"25-29"	2790	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"30-34 years"	"30-34"	3384	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"35-39 years"	"35-39"	4007	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"40-44 years"	"40-44"	4662	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"45-49 years"	"45-49"	6164	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"50-54 years"	"50-54"	9213	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"55-59 years"	"55-59"	14903	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"60-64 years "	"60-64"	20788	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"65-69 years"	"65-69"	24926	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"70-74 years"	"70-74"	29927	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"75-79 years"	"75-79"	32306	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"80-84 years"	"80-84"	34185	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"85-89 years"	"85-89"	34788	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"90-94 years"	"90-94"	29381	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"95-99 years"	"95-99"	13705	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"100+ years"	"100+"	2887	Not Applicable	Not Applicable
	"Oct., 2020"	"2020/10"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"< 1 year"	"1"	1559	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"1-4 years"	"1-4"	257	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"5-9 years"	"5-9"	172	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"10-14 years"	"10-14"	314	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"15-19 years"	"15-19"	1071	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"20-24 years"	"20-24"	1932	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"25-29 years"	"25-29"	2689	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"30-34 years"	"30-34"	3496	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"35-39 years"	"35-39"	4143	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"40-44 years"	"40-44"	4802	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"45-49 years"	"45-49"	6407	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"50-54 years"	"50-54"	9623	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"55-59 years"	"55-59"	15533	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"60-64 years "	"60-64"	22138	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"65-69 years"	"65-69"	27161	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"70-74 years"	"70-74"	33546	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"75-79 years"	"75-79"	36242	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"80-84 years"	"80-84"	38957	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"85-89 years"	"85-89"	40048	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"90-94 years"	"90-94"	33283	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"95-99 years"	"95-99"	15392	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"100+ years"	"100+"	3315	Not Applicable	Not Applicable
	"Nov., 2020"	"2020/11"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"< 1 year"	"1"	1543	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"1-4 years"	"1-4"	258	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"5-9 years"	"5-9"	153	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"10-14 years"	"10-14"	278	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"15-19 years"	"15-19"	1051	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"20-24 years"	"20-24"	1998	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"25-29 years"	"25-29"	2836	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"30-34 years"	"30-34"	3661	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"35-39 years"	"35-39"	4343	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"40-44 years"	"40-44"	5476	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"45-49 years"	"45-49"	7570	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"50-54 years"	"50-54"	11639	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"55-59 years"	"55-59"	18461	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"60-64 years "	"60-64"	27147	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"65-69 years"	"65-69"	33246	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"70-74 years"	"70-74"	40858	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"75-79 years"	"75-79"	44889	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"80-84 years"	"80-84"	47923	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"85-89 years"	"85-89"	49589	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"90-94 years"	"90-94"	40844	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"95-99 years"	"95-99"	18605	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"100+ years"	"100+"	4187	Not Applicable	Not Applicable
	"Dec., 2020"	"2020/12"	"Not Stated"	"NS"	13	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"< 1 year"	"1"	1670	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"1-4 years"	"1-4"	271	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"5-9 years"	"5-9"	178	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"10-14 years"	"10-14"	256	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"15-19 years"	"15-19"	1047	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"20-24 years"	"20-24"	2051	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"25-29 years"	"25-29"	2993	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"30-34 years"	"30-34"	3876	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"35-39 years"	"35-39"	4790	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"40-44 years"	"40-44"	5776	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"45-49 years"	"45-49"	7840	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"50-54 years"	"50-54"	12217	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"55-59 years"	"55-59"	19362	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"60-64 years "	"60-64"	28484	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"65-69 years"	"65-69"	34781	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"70-74 years"	"70-74"	42837	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"75-79 years"	"75-79"	45731	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"80-84 years"	"80-84"	48312	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"85-89 years"	"85-89"	48762	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"90-94 years"	"90-94"	39615	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"95-99 years"	"95-99"	18251	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"100+ years"	"100+"	3802	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"Feb., 2021"	"2021/02"	"< 1 year"	"1"	1482	Not Applicable	Not Applicable
	"Feb., 2021"	"2021/02"	"1-4 years"	"1-4"	264	Not Applicable	Not Applicable
	"Feb., 2021"	"2021/02"	"5-9 years"	"5-9"	165	Not Applicable	Not Applicable
	"Feb., 2021"	"2021/02"	"10-14 years"	"10-14"	267	Not Applicable	Not Applicable
	"Feb., 2021"	"2021/02"	"15-19 years"	"15-19"	900	Not Applicable	Not Applicable
	"Feb., 2021"	"2021/02"	"20-24 years"	"20-24"	1745	Not Applicable	Not Applicable
	"Feb., 2021"	"2021/02"	"25-29 years"	"25-29"	2490	Not Applicable	Not Applicable
	"Feb., 2021"	"2021/02"	"30-34 years"	"30-34"	3256	Not Applicable	Not Applicable
	"Feb., 2021"	"2021/02"	"35-39 years"	"35-39"	3932	Not Applicable	Not Applicable
