Notes,Month Reported,Month Reported Code,State / Territory,State / Territory Code,Event Category,Event Category Code,Events Reported,Percent
,"Jan., 2021",2021/01,Tennessee,47,Life Threatening,LT,7,0.01%
,"Jan., 2021",2021/01,Tennessee,47,Permanent Disability,DBL,5,0.01%
,"Jan., 2021",2021/01,Tennessee,47,Hospitalized,H,19,0.03%
,"Jan., 2021",2021/01,Tennessee,47,Emergency Room *,ER,62,0.09%
,"Jan., 2021",2021/01,Tennessee,47,Office Visit *,OF,108,0.16%
,"Jan., 2021",2021/01,Tennessee,47,None of the above,NONE,368,0.54%
Total,"Jan., 2021",2021/01,Tennessee,47,,,576,0.85%
,"Jan., 2021",2021/01,Texas,48,Death,DTH,15,0.02%
,"Jan., 2021",2021/01,Texas,48,Life Threatening,LT,24,0.04%
,"Jan., 2021",2021/01,Texas,48,Permanent Disability,DBL,13,0.02%
,"Jan., 2021",2021/01,Texas,48,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Jan., 2021",2021/01,Texas,48,Hospitalized,H,66,0.10%
,"Jan., 2021",2021/01,Texas,48,Emergency Room / Office Visit **,ER/OF,1,0.00%
,"Jan., 2021",2021/01,Texas,48,Emergency Room *,ER,248,0.37%
,"Jan., 2021",2021/01,Texas,48,Office Visit *,OF,380,0.56%
,"Jan., 2021",2021/01,Texas,48,None of the above,NONE,1446,2.13%
Total,"Jan., 2021",2021/01,Texas,48,,,2194,3.23%
,"Jan., 2021",2021/01,Utah,49,Death,DTH,2,0.00%
,"Jan., 2021",2021/01,Utah,49,Life Threatening,LT,7,0.01%
,"Jan., 2021",2021/01,Utah,49,Hospitalized,H,5,0.01%
,"Jan., 2021",2021/01,Utah,49,Emergency Room *,ER,50,0.07%
,"Jan., 2021",2021/01,Utah,49,Office Visit *,OF,80,0.12%
,"Jan., 2021",2021/01,Utah,49,None of the above,NONE,147,0.22%
Total,"Jan., 2021",2021/01,Utah,49,,,291,0.43%
,"Jan., 2021",2021/01,Vermont,50,Death,DTH,1,0.00%
,"Jan., 2021",2021/01,Vermont,50,Life Threatening,LT,3,0.00%
,"Jan., 2021",2021/01,Vermont,50,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,Vermont,50,Hospitalized,H,2,0.00%
,"Jan., 2021",2021/01,Vermont,50,Emergency Room *,ER,24,0.04%
,"Jan., 2021",2021/01,Vermont,50,Office Visit *,OF,28,0.04%
,"Jan., 2021",2021/01,Vermont,50,None of the above,NONE,120,0.18%
Total,"Jan., 2021",2021/01,Vermont,50,,,179,0.26%
,"Jan., 2021",2021/01,Virginia,51,Death,DTH,9,0.01%
,"Jan., 2021",2021/01,Virginia,51,Life Threatening,LT,10,0.01%
,"Jan., 2021",2021/01,Virginia,51,Permanent Disability,DBL,5,0.01%
,"Jan., 2021",2021/01,Virginia,51,Hospitalized,H,29,0.04%
,"Jan., 2021",2021/01,Virginia,51,Emergency Room / Office Visit **,ER/OF,1,0.00%
,"Jan., 2021",2021/01,Virginia,51,Emergency Room *,ER,83,0.12%
,"Jan., 2021",2021/01,Virginia,51,Office Visit *,OF,143,0.21%
,"Jan., 2021",2021/01,Virginia,51,None of the above,NONE,510,0.75%
Total,"Jan., 2021",2021/01,Virginia,51,,,790,1.16%
,"Jan., 2021",2021/01,Washington,53,Death,DTH,3,0.00%
,"Jan., 2021",2021/01,Washington,53,Life Threatening,LT,10,0.01%
,"Jan., 2021",2021/01,Washington,53,Permanent Disability,DBL,5,0.01%
,"Jan., 2021",2021/01,Washington,53,Hospitalized,H,19,0.03%
,"Jan., 2021",2021/01,Washington,53,Emergency Room *,ER,93,0.14%
,"Jan., 2021",2021/01,Washington,53,Office Visit *,OF,136,0.20%
,"Jan., 2021",2021/01,Washington,53,None of the above,NONE,502,0.74%
Total,"Jan., 2021",2021/01,Washington,53,,,768,1.13%
,"Jan., 2021",2021/01,West Virginia,54,Death,DTH,3,0.00%
,"Jan., 2021",2021/01,West Virginia,54,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,West Virginia,54,Hospitalized,H,6,0.01%
,"Jan., 2021",2021/01,West Virginia,54,Emergency Room *,ER,24,0.04%
,"Jan., 2021",2021/01,West Virginia,54,Office Visit *,OF,38,0.06%
,"Jan., 2021",2021/01,West Virginia,54,None of the above,NONE,170,0.25%
Total,"Jan., 2021",2021/01,West Virginia,54,,,242,0.36%
,"Jan., 2021",2021/01,Wisconsin,55,Death,DTH,8,0.01%
,"Jan., 2021",2021/01,Wisconsin,55,Life Threatening,LT,2,0.00%
,"Jan., 2021",2021/01,Wisconsin,55,Permanent Disability,DBL,5,0.01%
,"Jan., 2021",2021/01,Wisconsin,55,Hospitalized,H,24,0.04%
,"Jan., 2021",2021/01,Wisconsin,55,Emergency Room *,ER,126,0.19%
,"Jan., 2021",2021/01,Wisconsin,55,Office Visit *,OF,119,0.18%
,"Jan., 2021",2021/01,Wisconsin,55,None of the above,NONE,420,0.62%
Total,"Jan., 2021",2021/01,Wisconsin,55,,,704,1.04%
,"Jan., 2021",2021/01,Wyoming,56,Death,DTH,2,0.00%
,"Jan., 2021",2021/01,Wyoming,56,Life Threatening,LT,1,0.00%
,"Jan., 2021",2021/01,Wyoming,56,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,Wyoming,56,Hospitalized,H,2,0.00%
,"Jan., 2021",2021/01,Wyoming,56,Emergency Room *,ER,9,0.01%
,"Jan., 2021",2021/01,Wyoming,56,Office Visit *,OF,13,0.02%
,"Jan., 2021",2021/01,Wyoming,56,None of the above,NONE,34,0.05%
Total,"Jan., 2021",2021/01,Wyoming,56,,,62,0.09%
,"Jan., 2021",2021/01,American Samoa,60,Emergency Room *,ER,3,0.00%
,"Jan., 2021",2021/01,American Samoa,60,Office Visit *,OF,1,0.00%
,"Jan., 2021",2021/01,American Samoa,60,None of the above,NONE,4,0.01%
Total,"Jan., 2021",2021/01,American Samoa,60,,,8,0.01%
,"Jan., 2021",2021/01,Guam,66,Life Threatening,LT,1,0.00%
,"Jan., 2021",2021/01,Guam,66,Hospitalized,H,1,0.00%
,"Jan., 2021",2021/01,Guam,66,Office Visit *,OF,2,0.00%
,"Jan., 2021",2021/01,Guam,66,None of the above,NONE,3,0.00%
Total,"Jan., 2021",2021/01,Guam,66,,,7,0.01%
,"Jan., 2021",2021/01,Northern Mariana Islands,69,Emergency Room *,ER,1,0.00%
,"Jan., 2021",2021/01,Northern Mariana Islands,69,None of the above,NONE,2,0.00%
Total,"Jan., 2021",2021/01,Northern Mariana Islands,69,,,3,0.00%
,"Jan., 2021",2021/01,Puerto Rico,72,Life Threatening,LT,2,0.00%
,"Jan., 2021",2021/01,Puerto Rico,72,Permanent Disability,DBL,1,0.00%
,"Jan., 2021",2021/01,Puerto Rico,72,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Jan., 2021",2021/01,Puerto Rico,72,Hospitalized,H,5,0.01%
,"Jan., 2021",2021/01,Puerto Rico,72,Emergency Room *,ER,34,0.05%
,"Jan., 2021",2021/01,Puerto Rico,72,Office Visit *,OF,47,0.07%
,"Jan., 2021",2021/01,Puerto Rico,72,None of the above,NONE,198,0.29%
Total,"Jan., 2021",2021/01,Puerto Rico,72,,,288,0.42%
,"Jan., 2021",2021/01,Virgin Islands,78,Emergency Room *,ER,1,0.00%
,"Jan., 2021",2021/01,Virgin Islands,78,Office Visit *,OF,1,0.00%
,"Jan., 2021",2021/01,Virgin Islands,78,None of the above,NONE,1,0.00%
Total,"Jan., 2021",2021/01,Virgin Islands,78,,,3,0.00%
,"Jan., 2021",2021/01,Unknown,U,Death,DTH,61,0.09%
,"Jan., 2021",2021/01,Unknown,U,Life Threatening,LT,20,0.03%
,"Jan., 2021",2021/01,Unknown,U,Permanent Disability,DBL,2,0.00%
,"Jan., 2021",2021/01,Unknown,U,Hospitalized,H,143,0.21%
,"Jan., 2021",2021/01,Unknown,U,Existing Hospitalization Prolonged,HP,2,0.00%
,"Jan., 2021",2021/01,Unknown,U,Emergency Room *,ER,562,0.83%
,"Jan., 2021",2021/01,Unknown,U,Office Visit *,OF,599,0.88%
,"Jan., 2021",2021/01,Unknown,U,None of the above,NONE,3812,5.62%
Total,"Jan., 2021",2021/01,Unknown,U,,,5201,7.67%
Total,"Jan., 2021",2021/01,,,,,37923,55.89%
,"Feb., 2021",2021/02,Alabama,1,Death,DTH,6,0.01%
,"Feb., 2021",2021/02,Alabama,1,Life Threatening,LT,4,0.01%
,"Feb., 2021",2021/02,Alabama,1,Permanent Disability,DBL,4,0.01%
,"Feb., 2021",2021/02,Alabama,1,Hospitalized,H,22,0.03%
,"Feb., 2021",2021/02,Alabama,1,Existing Hospitalization Prolonged,HP,2,0.00%
,"Feb., 2021",2021/02,Alabama,1,Emergency Room *,ER,21,0.03%
,"Feb., 2021",2021/02,Alabama,1,Office Visit *,OF,21,0.03%
,"Feb., 2021",2021/02,Alabama,1,None of the above,NONE,49,0.07%
Total,"Feb., 2021",2021/02,Alabama,1,,,129,0.19%
,"Feb., 2021",2021/02,Alaska,2,Death,DTH,6,0.01%
,"Feb., 2021",2021/02,Alaska,2,Life Threatening,LT,7,0.01%
,"Feb., 2021",2021/02,Alaska,2,Permanent Disability,DBL,1,0.00%
,"Feb., 2021",2021/02,Alaska,2,Hospitalized,H,8,0.01%
,"Feb., 2021",2021/02,Alaska,2,Existing Hospitalization Prolonged,HP,1,0.00%
,"Feb., 2021",2021/02,Alaska,2,Emergency Room *,ER,8,0.01%
,"Feb., 2021",2021/02,Alaska,2,Office Visit *,OF,7,0.01%
,"Feb., 2021",2021/02,Alaska,2,None of the above,NONE,21,0.03%
Total,"Feb., 2021",2021/02,Alaska,2,,,59,0.09%
,"Feb., 2021",2021/02,Arizona,4,Death,DTH,12,0.02%
,"Feb., 2021",2021/02,Arizona,4,Life Threatening,LT,18,0.03%
,"Feb., 2021",2021/02,Arizona,4,Permanent Disability,DBL,16,0.02%
,"Feb., 2021",2021/02,Arizona,4,Hospitalized,H,47,0.07%
,"Feb., 2021",2021/02,Arizona,4,Existing Hospitalization Prolonged,HP,6,0.01%
,"Feb., 2021",2021/02,Arizona,4,Emergency Room *,ER,62,0.09%
,"Feb., 2021",2021/02,Arizona,4,Office Visit *,OF,37,0.05%
,"Feb., 2021",2021/02,Arizona,4,None of the above,NONE,135,0.20%
Total,"Feb., 2021",2021/02,Arizona,4,,,333,0.49%
,"Feb., 2021",2021/02,Arkansas,5,Death,DTH,8,0.01%
,"Feb., 2021",2021/02,Arkansas,5,Life Threatening,LT,3,0.00%
,"Feb., 2021",2021/02,Arkansas,5,Permanent Disability,DBL,2,0.00%
,"Feb., 2021",2021/02,Arkansas,5,Hospitalized,H,12,0.02%
,"Feb., 2021",2021/02,Arkansas,5,Emergency Room *,ER,13,0.02%
,"Feb., 2021",2021/02,Arkansas,5,Office Visit *,OF,16,0.02%
,"Feb., 2021",2021/02,Arkansas,5,None of the above,NONE,31,0.05%
Total,"Feb., 2021",2021/02,Arkansas,5,,,85,0.13%
,"Feb., 2021",2021/02,California,6,Death,DTH,64,0.09%
,"Feb., 2021",2021/02,California,6,Life Threatening,LT,50,0.07%
,"Feb., 2021",2021/02,California,6,Permanent Disability,DBL,40,0.06%
,"Feb., 2021",2021/02,California,6,Congenital Anomaly / Birth Defect *,BD,4,0.01%
,"Feb., 2021",2021/02,California,6,Hospitalized,H,147,0.22%
,"Feb., 2021",2021/02,California,6,Existing Hospitalization Prolonged,HP,1,0.00%
,"Feb., 2021",2021/02,California,6,Emergency Room *,ER,148,0.22%
,"Feb., 2021",2021/02,California,6,Office Visit *,OF,167,0.25%
,"Feb., 2021",2021/02,California,6,None of the above,NONE,459,0.68%
Total,"Feb., 2021",2021/02,California,6,,,1080,1.59%
,"Feb., 2021",2021/02,Colorado,8,Death,DTH,6,0.01%
,"Feb., 2021",2021/02,Colorado,8,Life Threatening,LT,12,0.02%
,"Feb., 2021",2021/02,Colorado,8,Permanent Disability,DBL,6,0.01%
,"Feb., 2021",2021/02,Colorado,8,Hospitalized,H,28,0.04%
,"Feb., 2021",2021/02,Colorado,8,Existing Hospitalization Prolonged,HP,1,0.00%
,"Feb., 2021",2021/02,Colorado,8,Emergency Room *,ER,29,0.04%
,"Feb., 2021",2021/02,Colorado,8,Office Visit *,OF,32,0.05%
,"Feb., 2021",2021/02,Colorado,8,None of the above,NONE,89,0.13%
Total,"Feb., 2021",2021/02,Colorado,8,,,203,0.30%
,"Feb., 2021",2021/02,Connecticut,9,Death,DTH,3,0.00%
,"Feb., 2021",2021/02,Connecticut,9,Life Threatening,LT,8,0.01%
,"Feb., 2021",2021/02,Connecticut,9,Permanent Disability,DBL,3,0.00%
,"Feb., 2021",2021/02,Connecticut,9,Hospitalized,H,26,0.04%
,"Feb., 2021",2021/02,Connecticut,9,Emergency Room *,ER,29,0.04%
,"Feb., 2021",2021/02,Connecticut,9,Office Visit *,OF,18,0.03%
,"Feb., 2021",2021/02,Connecticut,9,None of the above,NONE,82,0.12%
Total,"Feb., 2021",2021/02,Connecticut,9,,,169,0.25%
,"Feb., 2021",2021/02,Delaware,10,Death,DTH,2,0.00%
,"Feb., 2021",2021/02,Delaware,10,Hospitalized,H,5,0.01%
,"Feb., 2021",2021/02,Delaware,10,Emergency Room *,ER,3,0.00%
,"Feb., 2021",2021/02,Delaware,10,Office Visit *,OF,5,0.01%
,"Feb., 2021",2021/02,Delaware,10,None of the above,NONE,12,0.02%
Total,"Feb., 2021",2021/02,Delaware,10,,,27,0.04%
,"Feb., 2021",2021/02,District of Columbia,11,Death,DTH,1,0.00%
,"Feb., 2021",2021/02,District of Columbia,11,Permanent Disability,DBL,1,0.00%
,"Feb., 2021",2021/02,District of Columbia,11,Hospitalized,H,4,0.01%
,"Feb., 2021",2021/02,District of Columbia,11,Emergency Room *,ER,1,0.00%
,"Feb., 2021",2021/02,District of Columbia,11,Office Visit *,OF,3,0.00%
,"Feb., 2021",2021/02,District of Columbia,11,None of the above,NONE,11,0.02%
Total,"Feb., 2021",2021/02,District of Columbia,11,,,21,0.03%
,"Feb., 2021",2021/02,Florida,12,Death,DTH,46,0.07%
,"Feb., 2021",2021/02,Florida,12,Life Threatening,LT,40,0.06%
,"Feb., 2021",2021/02,Florida,12,Permanent Disability,DBL,28,0.04%
,"Feb., 2021",2021/02,Florida,12,Congenital Anomaly / Birth Defect *,BD,2,0.00%
,"Feb., 2021",2021/02,Florida,12,Hospitalized,H,123,0.18%
,"Feb., 2021",2021/02,Florida,12,Existing Hospitalization Prolonged,HP,1,0.00%
,"Feb., 2021",2021/02,Florida,12,Emergency Room *,ER,120,0.18%
,"Feb., 2021",2021/02,Florida,12,Office Visit *,OF,90,0.13%
,"Feb., 2021",2021/02,Florida,12,None of the above,NONE,340,0.50%
Total,"Feb., 2021",2021/02,Florida,12,,,790,1.16%
,"Feb., 2021",2021/02,Georgia,13,Death,DTH,20,0.03%
,"Feb., 2021",2021/02,Georgia,13,Life Threatening,LT,11,0.02%
,"Feb., 2021",2021/02,Georgia,13,Permanent Disability,DBL,12,0.02%
,"Feb., 2021",2021/02,Georgia,13,Congenital Anomaly / Birth Defect *,BD,2,0.00%
,"Feb., 2021",2021/02,Georgia,13,Hospitalized,H,40,0.06%
,"Feb., 2021",2021/02,Georgia,13,Existing Hospitalization Prolonged,HP,1,0.00%
,"Feb., 2021",2021/02,Georgia,13,Emergency Room *,ER,29,0.04%
,"Feb., 2021",2021/02,Georgia,13,Office Visit *,OF,31,0.05%
,"Feb., 2021",2021/02,Georgia,13,None of the above,NONE,101,0.15%
Total,"Feb., 2021",2021/02,Georgia,13,,,247,0.36%
,"Feb., 2021",2021/02,Hawaii,15,Death,DTH,5,0.01%
,"Feb., 2021",2021/02,Hawaii,15,Life Threatening,LT,4,0.01%
,"Feb., 2021",2021/02,Hawaii,15,Permanent Disability,DBL,1,0.00%
,"Feb., 2021",2021/02,Hawaii,15,Hospitalized,H,11,0.02%
,"Feb., 2021",2021/02,Hawaii,15,Emergency Room *,ER,9,0.01%
,"Feb., 2021",2021/02,Hawaii,15,Office Visit *,OF,10,0.01%
,"Feb., 2021",2021/02,Hawaii,15,None of the above,NONE,22,0.03%
Total,"Feb., 2021",2021/02,Hawaii,15,,,62,0.09%
,"Feb., 2021",2021/02,Idaho,16,Death,DTH,4,0.01%
,"Feb., 2021",2021/02,Idaho,16,Life Threatening,LT,1,0.00%
,"Feb., 2021",2021/02,Idaho,16,Permanent Disability,DBL,3,0.00%
,"Feb., 2021",2021/02,Idaho,16,Hospitalized,H,11,0.02%
,"Feb., 2021",2021/02,Idaho,16,Emergency Room *,ER,8,0.01%
,"Feb., 2021",2021/02,Idaho,16,Office Visit *,OF,5,0.01%
,"Feb., 2021",2021/02,Idaho,16,None of the above,NONE,21,0.03%
Total,"Feb., 2021",2021/02,Idaho,16,,,53,0.08%
,"Feb., 2021",2021/02,Illinois,17,Death,DTH,41,0.06%
,"Feb., 2021",2021/02,Illinois,17,Life Threatening,LT,18,0.03%
,"Feb., 2021",2021/02,Illinois,17,Permanent Disability,DBL,17,0.03%
,"Feb., 2021",2021/02,Illinois,17,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Feb., 2021",2021/02,Illinois,17,Hospitalized,H,69,0.10%
,"Feb., 2021",2021/02,Illinois,17,Emergency Room *,ER,65,0.10%
,"Feb., 2021",2021/02,Illinois,17,Office Visit *,OF,54,0.08%
,"Feb., 2021",2021/02,Illinois,17,None of the above,NONE,162,0.24%
Total,"Feb., 2021",2021/02,Illinois,17,,,427,0.63%
,"Feb., 2021",2021/02,Indiana,18,Death,DTH,14,0.02%
,"Feb., 2021",2021/02,Indiana,18,Life Threatening,LT,11,0.02%
,"Feb., 2021",2021/02,Indiana,18,Permanent Disability,DBL,10,0.01%
,"Feb., 2021",2021/02,Indiana,18,Hospitalized,H,30,0.04%
,"Feb., 2021",2021/02,Indiana,18,Existing Hospitalization Prolonged,HP,1,0.00%
,"Feb., 2021",2021/02,Indiana,18,Emergency Room *,ER,23,0.03%
,"Feb., 2021",2021/02,Indiana,18,Office Visit *,OF,33,0.05%
,"Feb., 2021",2021/02,Indiana,18,None of the above,NONE,96,0.14%
Total,"Feb., 2021",2021/02,Indiana,18,,,218,0.32%
,"Feb., 2021",2021/02,Iowa,19,Death,DTH,8,0.01%
,"Feb., 2021",2021/02,Iowa,19,Life Threatening,LT,5,0.01%
,"Feb., 2021",2021/02,Iowa,19,Permanent Disability,DBL,6,0.01%
,"Feb., 2021",2021/02,Iowa,19,Hospitalized,H,21,0.03%
,"Feb., 2021",2021/02,Iowa,19,Emergency Room *,ER,17,0.03%
,"Feb., 2021",2021/02,Iowa,19,Office Visit *,OF,17,0.03%
,"Feb., 2021",2021/02,Iowa,19,None of the above,NONE,38,0.06%
Total,"Feb., 2021",2021/02,Iowa,19,,,112,0.17%
,"Feb., 2021",2021/02,Kansas,20,Death,DTH,8,0.01%
,"Feb., 2021",2021/02,Kansas,20,Life Threatening,LT,6,0.01%
,"Feb., 2021",2021/02,Kansas,20,Permanent Disability,DBL,2,0.00%
,"Feb., 2021",2021/02,Kansas,20,Hospitalized,H,14,0.02%
,"Feb., 2021",2021/02,Kansas,20,Emergency Room *,ER,13,0.02%
,"Feb., 2021",2021/02,Kansas,20,Office Visit *,OF,10,0.01%
,"Feb., 2021",2021/02,Kansas,20,None of the above,NONE,30,0.04%
Total,"Feb., 2021",2021/02,Kansas,20,,,83,0.12%
,"Feb., 2021",2021/02,Kentucky,21,Death,DTH,29,0.04%
,"Feb., 2021",2021/02,Kentucky,21,Life Threatening,LT,7,0.01%
,"Feb., 2021",2021/02,Kentucky,21,Permanent Disability,DBL,4,0.01%
,"Feb., 2021",2021/02,Kentucky,21,Hospitalized,H,67,0.10%
,"Feb., 2021",2021/02,Kentucky,21,Emergency Room *,ER,59,0.09%
,"Feb., 2021",2021/02,Kentucky,21,Office Visit *,OF,20,0.03%
,"Feb., 2021",2021/02,Kentucky,21,None of the above,NONE,57,0.08%
Total,"Feb., 2021",2021/02,Kentucky,21,,,243,0.36%
,"Feb., 2021",2021/02,Louisiana,22,Death,DTH,7,0.01%
,"Feb., 2021",2021/02,Louisiana,22,Life Threatening,LT,7,0.01%
,"Feb., 2021",2021/02,Louisiana,22,Permanent Disability,DBL,2,0.00%
,"Feb., 2021",2021/02,Louisiana,22,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Feb., 2021",2021/02,Louisiana,22,Hospitalized,H,25,0.04%
,"Feb., 2021",2021/02,Louisiana,22,Emergency Room *,ER,23,0.03%
,"Feb., 2021",2021/02,Louisiana,22,Office Visit *,OF,12,0.02%
,"Feb., 2021",2021/02,Louisiana,22,None of the above,NONE,37,0.05%
Total,"Feb., 2021",2021/02,Louisiana,22,,,114,0.17%
,"Feb., 2021",2021/02,Maine,23,Death,DTH,1,0.00%
,"Feb., 2021",2021/02,Maine,23,Life Threatening,LT,2,0.00%
,"Feb., 2021",2021/02,Maine,23,Permanent Disability,DBL,4,0.01%
,"Feb., 2021",2021/02,Maine,23,Hospitalized,H,9,0.01%
,"Feb., 2021",2021/02,Maine,23,Emergency Room *,ER,10,0.01%
,"Feb., 2021",2021/02,Maine,23,Office Visit *,OF,9,0.01%
,"Feb., 2021",2021/02,Maine,23,None of the above,NONE,14,0.02%
Total,"Feb., 2021",2021/02,Maine,23,,,49,0.07%
,"Feb., 2021",2021/02,Maryland,24,Death,DTH,7,0.01%
,"Feb., 2021",2021/02,Maryland,24,Life Threatening,LT,9,0.01%
,"Feb., 2021",2021/02,Maryland,24,Permanent Disability,DBL,4,0.01%
,"Feb., 2021",2021/02,Maryland,24,Hospitalized,H,57,0.08%
,"Feb., 2021",2021/02,Maryland,24,Existing Hospitalization Prolonged,HP,1,0.00%
,"Feb., 2021",2021/02,Maryland,24,Emergency Room *,ER,31,0.05%
,"Feb., 2021",2021/02,Maryland,24,Office Visit *,OF,28,0.04%
,"Feb., 2021",2021/02,Maryland,24,None of the above,NONE,91,0.13%
Total,"Feb., 2021",2021/02,Maryland,24,,,228,0.34%
,"Feb., 2021",2021/02,Massachusetts,25,Death,DTH,13,0.02%
,"Feb., 2021",2021/02,Massachusetts,25,Life Threatening,LT,14,0.02%
,"Feb., 2021",2021/02,Massachusetts,25,Permanent Disability,DBL,10,0.01%
,"Feb., 2021",2021/02,Massachusetts,25,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Feb., 2021",2021/02,Massachusetts,25,Hospitalized,H,52,0.08%
,"Feb., 2021",2021/02,Massachusetts,25,Emergency Room *,ER,47,0.07%
,"Feb., 2021",2021/02,Massachusetts,25,Office Visit *,OF,43,0.06%
,"Feb., 2021",2021/02,Massachusetts,25,None of the above,NONE,140,0.21%
Total,"Feb., 2021",2021/02,Massachusetts,25,,,320,0.47%
,"Feb., 2021",2021/02,Michigan,26,Death,DTH,20,0.03%
,"Feb., 2021",2021/02,Michigan,26,Life Threatening,LT,21,0.03%
,"Feb., 2021",2021/02,Michigan,26,Permanent Disability,DBL,10,0.01%
,"Feb., 2021",2021/02,Michigan,26,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Feb., 2021",2021/02,Michigan,26,Hospitalized,H,59,0.09%
,"Feb., 2021",2021/02,Michigan,26,Existing Hospitalization Prolonged,HP,1,0.00%
,"Feb., 2021",2021/02,Michigan,26,Emergency Room *,ER,59,0.09%
,"Feb., 2021",2021/02,Michigan,26,Office Visit *,OF,55,0.08%
,"Feb., 2021",2021/02,Michigan,26,None of the above,NONE,172,0.25%
Total,"Feb., 2021",2021/02,Michigan,26,,,398,0.59%
,"Feb., 2021",2021/02,Minnesota,27,Death,DTH,24,0.04%
,"Feb., 2021",2021/02,Minnesota,27,Life Threatening,LT,19,0.03%
,"Feb., 2021",2021/02,Minnesota,27,Permanent Disability,DBL,8,0.01%
,"Feb., 2021",2021/02,Minnesota,27,Congenital Anomaly / Birth Defect *,BD,2,0.00%
,"Feb., 2021",2021/02,Minnesota,27,Hospitalized,H,67,0.10%
,"Feb., 2021",2021/02,Minnesota,27,Emergency Room *,ER,40,0.06%
,"Feb., 2021",2021/02,Minnesota,27,Office Visit *,OF,40,0.06%
,"Feb., 2021",2021/02,Minnesota,27,None of the above,NONE,75,0.11%
Total,"Feb., 2021",2021/02,Minnesota,27,,,275,0.41%
,"Feb., 2021",2021/02,Mississippi,28,Death,DTH,3,0.00%
,"Feb., 2021",2021/02,Mississippi,28,Life Threatening,LT,4,0.01%
,"Feb., 2021",2021/02,Mississippi,28,Permanent Disability,DBL,3,0.00%
,"Feb., 2021",2021/02,Mississippi,28,Hospitalized,H,6,0.01%
,"Feb., 2021",2021/02,Mississippi,28,Emergency Room *,ER,3,0.00%
,"Feb., 2021",2021/02,Mississippi,28,Office Visit *,OF,7,0.01%
,"Feb., 2021",2021/02,Mississippi,28,None of the above,NONE,21,0.03%
Total,"Feb., 2021",2021/02,Mississippi,28,,,47,0.07%
,"Feb., 2021",2021/02,Missouri,29,Death,DTH,23,0.03%
,"Feb., 2021",2021/02,Missouri,29,Life Threatening,LT,16,0.02%
,"Feb., 2021",2021/02,Missouri,29,Permanent Disability,DBL,14,0.02%
,"Feb., 2021",2021/02,Missouri,29,Congenital Anomaly / Birth Defect *,BD,2,0.00%
,"Feb., 2021",2021/02,Missouri,29,Hospitalized,H,35,0.05%
,"Feb., 2021",2021/02,Missouri,29,Existing Hospitalization Prolonged,HP,1,0.00%
,"Feb., 2021",2021/02,Missouri,29,Emergency Room *,ER,32,0.05%
,"Feb., 2021",2021/02,Missouri,29,Office Visit *,OF,27,0.04%
,"Feb., 2021",2021/02,Missouri,29,None of the above,NONE,73,0.11%
Total,"Feb., 2021",2021/02,Missouri,29,,,223,0.33%
,"Feb., 2021",2021/02,Montana,30,Death,DTH,4,0.01%
,"Feb., 2021",2021/02,Montana,30,Life Threatening,LT,3,0.00%
,"Feb., 2021",2021/02,Montana,30,Permanent Disability,DBL,2,0.00%
,"Feb., 2021",2021/02,Montana,30,Hospitalized,H,13,0.02%
,"Feb., 2021",2021/02,Montana,30,Emergency Room *,ER,8,0.01%
,"Feb., 2021",2021/02,Montana,30,Office Visit *,OF,10,0.01%
,"Feb., 2021",2021/02,Montana,30,None of the above,NONE,48,0.07%
Total,"Feb., 2021",2021/02,Montana,30,,,88,0.13%
,"Feb., 2021",2021/02,Nebraska,31,Death,DTH,9,0.01%
,"Feb., 2021",2021/02,Nebraska,31,Life Threatening,LT,3,0.00%
,"Feb., 2021",2021/02,Nebraska,31,Permanent Disability,DBL,1,0.00%
,"Feb., 2021",2021/02,Nebraska,31,Hospitalized,H,23,0.03%
,"Feb., 2021",2021/02,Nebraska,31,Emergency Room *,ER,19,0.03%
,"Feb., 2021",2021/02,Nebraska,31,Office Visit *,OF,12,0.02%
,"Feb., 2021",2021/02,Nebraska,31,None of the above,NONE,27,0.04%
Total,"Feb., 2021",2021/02,Nebraska,31,,,94,0.14%
,"Feb., 2021",2021/02,Nevada,32,Death,DTH,4,0.01%
,"Feb., 2021",2021/02,Nevada,32,Life Threatening,LT,6,0.01%
,"Feb., 2021",2021/02,Nevada,32,Permanent Disability,DBL,4,0.01%
,"Feb., 2021",2021/02,Nevada,32,Hospitalized,H,11,0.02%
,"Feb., 2021",2021/02,Nevada,32,Emergency Room *,ER,11,0.02%
,"Feb., 2021",2021/02,Nevada,32,Office Visit *,OF,16,0.02%
,"Feb., 2021",2021/02,Nevada,32,None of the above,NONE,26,0.04%
Total,"Feb., 2021",2021/02,Nevada,32,,,78,0.11%
,"Feb., 2021",2021/02,New Hampshire,33,Death,DTH,14,0.02%
,"Feb., 2021",2021/02,New Hampshire,33,Life Threatening,LT,3,0.00%
